time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],hurs[unit="%"]
1962-01-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,77.92345
1962-01-02T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,74.771576
1962-01-03T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,81.68189
1962-01-04T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,77.92661
1962-01-05T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,87.08613
1962-01-06T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.39647
1962-01-07T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,85.01325
1962-01-08T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,90.4464
1962-01-09T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,83.637436
1962-01-10T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.326805
1962-01-11T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,90.97596
1962-01-12T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,82.36844
1962-01-13T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,82.92143
1962-01-14T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,83.6845
1962-01-15T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.9856
1962-01-16T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,92.64683
1962-01-17T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,94.552284
1962-01-18T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,92.6853
1962-01-19T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,96.9044
1962-01-20T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,94.16442
1962-01-21T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,87.07577
1962-01-22T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,92.02482
1962-01-23T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.238525
1962-01-24T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,85.49089
1962-01-25T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,88.83925
1962-01-26T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.738205
1962-01-27T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,79.95805
1962-01-28T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,89.91248
1962-01-29T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,84.35077
