time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tas[unit="K"]
2100-01-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.5113
2100-01-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,280.7445
2100-01-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,279.1914
2100-01-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,276.70187
2100-01-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.68842
2100-01-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.07532
2100-01-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.65045
2100-01-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,276.7965
2100-01-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,278.86255
2100-01-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,279.63385
2100-01-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,278.33435
2100-01-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,277.55432
2100-01-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,276.25464
2100-01-14T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,273.94202
2100-01-15T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.65765
2100-01-16T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.6792
2100-01-17T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.22034
2100-01-18T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,269.19836
2100-01-19T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,270.11652
2100-01-20T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,269.91638
2100-01-21T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,268.17676
2100-01-22T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,268.77948
2100-01-23T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,273.39545
2100-01-24T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.6853
2100-01-25T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,271.5005
2100-01-26T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.2126
2100-01-27T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,266.85822
2100-01-28T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,267.34134
2100-01-29T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,270.7421
2100-01-30T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.24738
2100-02-01T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,277.9668
2100-02-02T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,277.10992
2100-02-03T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.9912
2100-02-04T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.94025
2100-02-05T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.773
2100-02-06T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,276.1382
2100-02-07T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,277.3375
2100-02-08T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,278.5569
2100-02-09T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,281.41003
2100-02-10T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,280.62317
2100-02-11T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,275.30316
2100-02-12T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,274.67035
2100-02-13T12:00:00Z,GridPointRequestedAt[42.360N_71.058W],42.375,-71.125,276.52136
