scenario,decade,avg_duration,avg_intensity,avg_yearly_frequency,avg_yearly_season_length
historical,1950,5.6,79.20814627422999,1.0,53.3
historical,1960,5.8,79.5430853386228,1.0,50.3
historical,1970,5.714285714285714,77.5650694673362,0.7,54.5
historical,1980,5.444444444444445,78.34726926666954,0.9,49.2
historical,1990,6.2,79.06705177438364,0.5,48.7
historical,2000,6.142857142857143,81.53218077979544,0.7,53.8
historical,2010,6.666666666666667,85.46490941868865,0.6,42.4
ssp126,2010,4.6,84.78590528785381,1.0,50.8
ssp126,2020,7.0,85.57052522071191,0.7,43.4
ssp126,2030,5.5,87.51251414867697,1.0,52.5
ssp126,2040,5.625,88.70168415548383,0.8,43.1
ssp126,2050,6.0,88.07598970019168,0.8,56.4
ssp126,2060,5.444444444444445,88.40836301926444,0.9,49.1
ssp126,2070,5.333333333333333,90.53077539833698,0.9,45.8
ssp126,2080,5.555555555555555,89.89111592107413,0.9,43.5
ssp126,2090,5.363636363636363,90.3690861333726,1.0,48.27272727272727
ssp245,2010,5.333333333333333,84.18759230882495,1.2,47.6
ssp245,2020,5.583333333333333,86.36611019929649,1.2,57.9
ssp245,2030,5.25,87.90913212633609,0.4,64.5
ssp245,2040,6.25,89.57327891283018,0.8,51.7
ssp245,2050,5.222222222222222,91.52454623180887,0.9,63.4
ssp245,2060,5.428571428571429,91.6454906261765,0.7,55.5
ssp245,2070,5.125,93.26506720957734,0.8,60.7
ssp245,2080,5.625,95.50773463525529,0.8,48.6
ssp245,2090,4.833333333333333,95.7334977980663,0.5454545454545454,65.0
ssp585,2010,4.666666666666667,84.87377647711263,0.6,60.4
ssp585,2020,6.333333333333333,86.47791671684608,0.3,76.8
ssp585,2030,6.125,88.59801224374259,0.8,47.2
ssp585,2040,5.5,92.00166741784483,0.4,62.1
ssp585,2050,4.857142857142857,93.29109567648607,0.7,56.1
ssp585,2060,5.333333333333333,95.50463452565673,0.6,63.8
ssp585,2070,5.714285714285714,96.46714721978363,0.7,60.5
ssp585,2080,5.666666666666667,105.28072491100443,0.9,63.2
ssp585,2090,6.25,109.64750679378966,0.7272727272727273,62.0
