time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],hurs[unit="%"]
1986-01-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,84.575485
1986-01-02T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,85.858215
1986-01-03T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,76.39896
1986-01-04T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.15369
1986-01-05T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,85.97265
1986-01-06T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,78.27667
1986-01-07T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,72.24427
1986-01-08T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,80.05312
1986-01-09T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,73.84964
1986-01-10T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,76.744804
1986-01-11T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,80.3341
1986-01-12T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,82.03134
1986-01-13T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,80.45776
1986-01-14T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,79.67263
1986-01-15T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,84.162315
1986-01-16T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,89.65693
1986-01-17T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,79.05628
1986-01-18T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,89.33454
1986-01-19T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,94.36834
1986-01-20T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,86.45035
1986-01-21T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,82.929054
1986-01-22T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,87.511345
1986-01-23T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,90.02203
1986-01-24T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,80.72171
1986-01-25T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,73.84389
1986-01-26T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,75.50618
1986-01-27T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,78.31955
1986-01-28T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,72.31416
1986-01-29T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,68.07425
1986-01-30T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,69.57592
1986-02-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,66.80732
1986-02-02T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,70.84185
1986-02-03T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,67.216995
