time,station,latitude[unit="degrees_north"],longitude[unit="degrees_east"],tas[unit="K"]
1992-01-01T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,282.3537
1992-01-02T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,282.47778
1992-01-03T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,285.2155
1992-01-04T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,287.2522
1992-01-05T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,285.5017
1992-01-06T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,279.68472
1992-01-07T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,275.9646
1992-01-08T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,276.62155
1992-01-09T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,275.25806
1992-01-10T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,276.44116
1992-01-11T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,274.60785
1992-01-12T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.52112
1992-01-13T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,279.03616
1992-01-14T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,278.63232
1992-01-15T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,276.18457
1992-01-16T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,274.22748
1992-01-17T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.54092
1992-01-18T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.9128
1992-01-19T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,275.2495
1992-01-20T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,277.77176
1992-01-21T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,275.32434
1992-01-22T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,271.0719
1992-01-23T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.56448
1992-01-24T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,272.5337
1992-01-25T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,271.28928
1992-01-26T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,273.62567
1992-01-27T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,269.12308
1992-01-28T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,269.52267
1992-01-29T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,269.37836
1992-01-30T12:00:00Z,GridPointRequestedAt[41.884N_87.632W],41.875,-87.625,270.79138
